EMPRESA,ANO,TIPO
ENGENHOCA PARQUE,2023,EMPRESA DE EVENTOS
ENGENHOCA PARQUE,2019,ALIMENTAÇÃO FORA DO LAR
ENGENHOCA PARQUE,2018,ALIMENTAÇÃO FORA DO LAR
ENGENHOCA PARQUE,2017,ALIMENTAÇÃO FORA DO LAR
ESPACO BELISSIMA,2024,SERVIÇOS DE ESTÉTICA
ESPAÇO GOSTOSO,2019,ALIMENTAÇÃO FORA DO LAR
ESPAÇO MALVA CONFEITARIA,2023,ALIMENTAÇÃO FORA DO LAR
ESPAÇO NOVA ERA POUSADA,2017,HOSPEDAGEM
ESPETINHO DO TIO,2023,ALIMENTAÇÃO FORA DO LAR
ESPETINHO FAMÍLIA SIQUEIRA,2024,ALIMENTAÇÃO FORA DO LAR
ESPETO DO ALBERAS,2023,ALIMENTAÇÃO FORA DO LAR
CASA MALU,2019,ALIMENTAÇÃO FORA DO LAR
CASA MALU,2018,ALIMENTAÇÃO FORA DO LAR
ESTAÇÃO MULTI MARCAS,2023,MANUTENÇÃO DE VEÍCULOS
ESTAÇÃO MULTIMARCAS,2022,MANUTENÇÃO DE VEÍCULOS
ESTAÇÃO MULTIMARCAS,2024,MANUTENÇÃO DE VEÍCULOS
ESTÂNCIA MONTE HOREBE POUSADA E BISTRÔ,2024,ALIMENTAÇÃO FORA DO LAR
ESTÂNCIA MONTE HOREBE POUSADA E BISTRÔ,2022,ALIMENTAÇÃO FORA DO LAR
ESTÂNCIA MONTE HOREBE POUSADA E BISTRÔ,2023,ALIMENTAÇÃO FORA DO LAR
ETOS LABORATORIO DE ANALISES CLINICAS LTDA,2024,SERVIÇOS LABORATORIAIS
EVALDO AUTO PECAS (ANA CASTRO PARENTE),2021,MANUTENÇÃO DE VEÍCULOS
EVERYLIFE STUDIO PERSONAL,2024,ACADEMIA
EXPERIMENTE JERI ,2024,AGÊNCIA DE VIAGENS 
F3 PRODUÇÕES,2024,EMPRESA DE EVENTOS
F3 PRODUÇÕES,2023,EMPRESA DE EVENTOS
FARMACIA CUSTODIO,2025,LOJAS DE VAREJO
FARMACIA DO POVO,2025,LOJAS DE VAREJO
FARMÁCIA ETHICALL,2022,SERVIÇOS DE SAUDE
FARMÁCIA FERNANDES,2025,LOJAS DE VAREJO
FARMÁCIA FÓRMULA VERDE,2022,SERVIÇOS DE SAUDE
FARMÁCIA FORMULAR,2023,SERVIÇOS DE SAÚDE
FARMÁCIA JESUS,2024,LOJAS DE VAREJO
FARMACIA MAIS SAUDE MEDICAMENTOS LTDA,2025,LOJAS DE VAREJO
FARMACIA SEIVA,2025,LOJAS DE VAREJO
FAZENDA HOTEL PEDRA DOS VENTOS,2019,HOSPEDAGEM 
FAZENDA HOTEL PEDRA DOS VENTOS,2017,HOSPEDAGEM
FAZENDA HOTEL PEDRA DOS VENTOS,2016,HOSPEDAGEM
FAZENDA HOTEL PEDRA DOS VENTOS,2014,HOSPEDAGEM
FAZENDA SANTO EXPEDITO,2023,ALIMENTAÇÃO FORA DO LAR
FAZENDA SANTO EXPEDITO,2022,EMPRESA DE EVENTOS
FAZENDA SOSSEGO HOTEL,2018,HOSPEDAGEM
FEIJOADA DE POTE,2024,ALIMENTAÇÃO FORA DO LAR
FEIJOADA DE POTE,2023,ALIMENTAÇÃO FORA DO LAR
FENIX TOUR JERI,2024,AGÊNCIA DE VIAGENS 
FILÉ GOURMET RESTAURANTE E COMERCIO DE ALIMENTOS LTDA,2023,ALIMENTAÇÃO FORA DO LAR
FINO SABOR GOURMET,2024,ALIMENTAÇÃO FORA DO LAR
FINO SABOR GOURMET,2017,ALIMENTAÇÃO FORA DO LAR
FINO SABOR GOURMET,2016,ALIMENTAÇÃO FORA DO LAR
FINO SABOR GOURMET,2015,ALIMENTAÇÃO FORA DO LAR
FISIUS - ITC VERTEBRAL,2025,SERVIÇOS DE SAÚDE
FITNESS EXCLUSIVE ACADEMIA,2023,ACADEMIA
FLECHEIRAS POINT,2023,ALIMENTAÇÃO FORA DO LAR
FLECHEIRAS POINT ,2024,ALIMENTAÇÃO FORA DO LAR
FOGÃO RÚSTICO RESTAURANTE REGIONAL,2025,ALIMENTAÇÃO FORA DO LAR
FOGO CAMPEIRO CHURRASCARIA,2019,ALIMENTAÇÃO FORA DO LAR
FOR YOU RECEPTIVO,2023,AGÊNCIA DE VIAGENS 
FOR YOU RECEPTIVO,2024,AGÊNCIA DE VIAGENS 
FOR YOU RECEPTIVO,2022,AGÊNCIA DE VIAGENS
FORNERIA SANTO GRANO,2019,ALIMENTAÇÃO FORA DO LAR
FORNERIA SANTO GRANO,2018,ALIMENTAÇÃO FORA DO LAR
FORNERIA SANTO GRANO,2017,ALIMENTAÇÃO FORA DO LAR
FORNERIA SANTO GRANO,2016,ALIMENTAÇÃO FORA DO LAR
FORT EVENTOS ,2024,EMPRESA DE EVENTOS
FORTLINE TURISMO,2024,AGÊNCIA DE VIAGENS 
FRATELLY LA PASTA,2022,ALIMENTAÇÃO FORA DO LAR
FRIGIDEIRA DO JONNY,2018,ALIMENTAÇÃO FORA DO LAR
FRIGIDEIRA DO JONNY,2017,ALIMENTAÇÃO FORA DO LAR
FRIGIDEIRA DO JONNY,2016,ALIMENTAÇÃO FORA DO LAR
FRUTARIA FRUT MAIS,2025,LOJAS DE VAREJO
FUXIKO BEER,2024,ALIMENTAÇÃO FORA DO LAR
FUXIKO BEER,2023,ALIMENTAÇÃO FORA DO LAR
FUXIKO BEER,2022,ALIMENTAÇÃO FORA DO LAR
FUXIKO BEER,2019,ALIMENTAÇÃO FORA DO LAR
FUXIKO BEER,2017,ALIMENTAÇÃO FORA DO LAR
G S SOLUÇÕES AUTOMOTIVAS,2024,MANUTENÇÃO DE VEÍCULOS
G. L. F. ROCHA LTDA - STUDIO SLAVA,2023,ACADEMIA
GALETERIA PIZZARIA,2024,ALIMENTAÇÃO FORA DO LAR
GEANE BARRETO ESTETICA E EMAGRECIMENTO,2025,SERVIÇOS DE ESTÉTICA
GENESIS PARK,2024,ALIMENTAÇÃO FORA DO LAR
GENESIS PARK,2023,HOSPEDAGEM
GEPPOS RESTAURANTE - 1,2016,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE - 2,2016,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE,2017,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE - MEIRELES,2017,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE,2015,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE,2014,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE – BEIRA MAR,2019,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE – BEIRA MAR,2018,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE – BEIRA MAR,2015,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE – BEIRA MAR,2013,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE – BEIRA MAR,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE – BEIRA MAR,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE,2019,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE,2018,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE,2013,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE,2025,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE ITALIANO,2022,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE,2023,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE PRAIA,2023,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTE PRAIA,2022,ALIMENTAÇÃO FORA DO LAR
GEPPOS RESTAURANTES BEIRA MAR,2014,ALIMENTAÇÃO FORA DO LAR
GIRAFATUR,2024,AGÊNCIA DE VIAGENS 
GIRAFATUR,2023,AGÊNCIA DE VIAGENS 
"GIULIETTA CAFÉ, PASTO E PIZZA",2019,ALIMENTAÇÃO FORA DO LAR
GIULIETTA VIÇOSA DO CEARÁ,2019,ALIMENTAÇÃO FORA DO LAR
GLESSY AGENCIA DE VIAGENS E TURISMO,2025,AGÊNCIA DE VIAGENS 
GM EXCLUSIVE FITNESS,2024,ACADEMIA
GO! OFFICES COWORKING,2024,COWORKING
GOLDEN KIDS BUFFET,2024,EMPRESA DE EVENTOS
GOOD BURGUER E AÇAÍ,2024,ALIMENTAÇÃO FORA DO LAR
GOSPEL FAZENDA PARK HOTEL,2024,HOSPEDAGEM 
GOSPEL FAZENDA PARK HOTEL,2022,HOSPEDAGEM
GOULASHE,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
GOULASHE,2013,ALIMENTAÇÃO FORA DO LAR
GRAFICA TAUA ,2025,LOJAS DE VAREJO
GRAN MAREIRO HOTEL,2019,HOSPEDAGEM 
GRATTI RESTAURANTE E EVENTOS LTDA,2023,ALIMENTAÇÃO FORA DO LAR
GRAUÇÁ TURISMO,2023,AGÊNCIA DE VIAGENS 
GUARAMIRANGA CAFÉ COLONIAL,2025,ALIMENTAÇÃO FORA DO LAR
GUARAMIRANGA CAFÉ COLONIAL,2024,ALIMENTAÇÃO FORA DO LAR
GUERRA CONCEITO,2025,LOJAS DE VAREJO
GUILHERME TEIXEIRA RECEPCOES E EVENTOS,2023,EMPRESA DE EVENTOS
GUILHERME TEIXEIRA RECEPCOES E EVENTOS,2024,EMPRESA DE EVENTOS
GUILHERME TEIXEIRA RECEPÇÕES E EVENTOS,2015,EMPRESA DE EVENTOS
GUILTE FESTAS,2014,EMPRESA DE EVENTOS
H2U ESCRITORIO VIRTUAL,2024,COWORKING
HABIBS,2022,ALIMENTAÇÃO FORA DO LAR
HABIBS,2019,ALIMENTAÇÃO FORA DO LAR
HABIBS,2015,ALIMENTAÇÃO FORA DO LAR
HABIBS,2018,ALIMENTAÇÃO FORA DO LAR
HABIBS,2016,ALIMENTAÇÃO FORA DO LAR
HABIBS,2014,ALIMENTAÇÃO FORA DO LAR
HABIBS – 13 DE MAIO,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
HABIBS – SEIS BOCAS,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
HABIBS – SEIS BOCAS,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
HABIBS – WASHINGTON SOARES,2013,ALIMENTAÇÃO FORA DO LAR
HAPPY DAY BUFFET,2024,EMPRESA DE EVENTOS
HERMES PALHANO OFICINA AUTOMOTIVA,2024,MANUTENÇÃO DE VEÍCULOS
HG SERVIÇOS ADMINISTRATIVOS LTDA,2024,COWORKING
HOREB EREENCIMENTOS IMOBILIÁRIOS / JC HOTEIS - PREMIUM HOTEL,2023,HOSPEDAGEM
HOTEL ARCO-ÍRIS,2023,HOSPEDAGEM
HOTEL BEZERRA,2017,HOSPEDAGEM
HOTEL BOUTIQUE CASA DE SÃO JOSÉ,2018,HOSPEDAGEM
HOTEL BOUTIQUE CASA DE SÃO JOSÉ,2017,HOSPEDAGEM
HOTEL BOUTIQUE CASA DE SÃO JOSÉ,2016,HOSPEDAGEM
HOTEL BRISA DA SERRA,2016,HOSPEDAGEM
HOTEL CAMOCIM,2024,HOSPEDAGEM 
HOTEL CAMOCIM,2023,HOSPEDAGEM
HOTEL CAMOCIM,2022,HOSPEDAGEM
HOTEL CAMOCIM,2019,HOSPEDAGEM 
HOTEL CHALÉ NOSSO SITIO,2018,HOSPEDAGEM
HOTEL CHALÉ NOSSO SITIO,2016,HOSPEDAGEM
HOTEL CHALÉ NOSSO SÍTIO,2019,HOSPEDAGEM 
HOTEL CHALÉ NOSSO SÍTIO,2017,HOSPEDAGEM
HOTEL COCAL,2011 / 2012,HOSPEDAGEM
HOTEL COCAL,2009 / 2010,HOSPEDAGEM
HOTEL COLISEUM,2013,HOSPEDAGEM
HOTEL COLONIAL BATURITÉ,2022,HOSPEDAGEM
HOTEL COLONIAL BATURITÉ,2017,HOSPEDAGEM
HOTEL COLONIAL BATURITÉ,2013,HOSPEDAGEM
HOTEL COLONIAL BATURITÉ,2018,HOSPEDAGEM
HOTEL COLONIAL BATURITÉ,2016,HOSPEDAGEM
HOTEL DAS FONTES – BARBALHA/CE,2016,HOSPEDAGEM
HOTEL DAS FONTES – BARBALHA/CE,2015,HOSPEDAGEM
HOTEL DAS FONTES – BARBALHA/CE,2014,HOSPEDAGEM
HOTEL DAS FONTES – BARBALHA/CE,2013,HOSPEDAGEM
HOTEL DAS FONTES – BARBALHA/CE,2011 / 2012,HOSPEDAGEM
HOTEL DAS FONTES – BARBALHA/CE,2009 / 2010,HOSPEDAGEM
HOTEL DIOGO,2011 / 2012,HOSPEDAGEM
HOTEL DIOGO,2009 / 2010,HOSPEDAGEM
HOTEL DONANA,2016,HOSPEDAGEM
HOTEL DONANA,2015,HOSPEDAGEM
HOTEL E RESTAURANTE MARIA BASTOS,2024,HOSPEDAGEM 
HOTEL E RESTAURANTE TALHERES,2014,HOSPEDAGEM
HOTEL ENCOSTA DA SERRA,2016,HOSPEDAGEM
HOTEL ICARAÍ BEACH,2024,HOSPEDAGEM 
HOTEL ICARAÍ BEACH,2023,HOSPEDAGEM
HOTEL IL NURAGHE,2018,HOSPEDAGEM
HOTEL ILHA DO AMOR,2016,HOSPEDAGEM
HOTEL ILHA DO AMOR,2015,HOSPEDAGEM
HOTEL ILHA DO AMOR,2014,HOSPEDAGEM
HOTEL ILHA DO AMOR,2013,HOSPEDAGEM
HOTEL JANGADAS,2023,HOSPEDAGEM
HOTEL JANGADAS,2022,HOSPEDAGEM
HOTEL JANGADAS,2019,HOSPEDAGEM 
HOTEL JANGADAS,2018,HOSPEDAGEM
HOTEL JERI,2017,HOSPEDAGEM
HOTEL LAGUNA BLU,2023,HOSPEDAGEM
HOTEL LAGUNA BLU,2019,HOSPEDAGEM 
HOTEL LAGUNA BLU,2018,HOSPEDAGEM
HOTEL LAGUNA BLU,2017,HOSPEDAGEM
HOTEL LAGUNA BLU,2016,HOSPEDAGEM
HOTEL LAGUNA BLU,2015,HOSPEDAGEM
HOTEL LAGUNA BLU,2013,HOSPEDAGEM
HOTEL LAGUNA BLU,2011 / 2012,HOSPEDAGEM
HOTEL LAGUNA BLU ,2022,HOSPEDAGEM
HOTEL MAGNUM,2014,HOSPEDAGEM
HOTEL MALIBU,2022,HOSPEDAGEM
HOTEL MARÉ LOFT PRAIA,2024,HOSPEDAGEM 
HOTEL MARÉ LOFT PRAIA,2023,HOSPEDAGEM
HOTEL MARE MANSA,2025,HOSPEDAGEM 
HOTEL MARIA BASTOS,2016,HOSPEDAGEM
HOTEL MARIA BASTOS,2015,HOSPEDAGEM
HOTEL MARIA BASTOS,2014,HOSPEDAGEM
HOTEL MARINA PRAIA,2014,HOSPEDAGEM
HOTEL MARINA PRAIA,2011 / 2012,HOSPEDAGEM
HOTEL MARINA PRAIA,2009 / 2010,HOSPEDAGEM
HOTEL MERIDIONAL,2022,HOSPEDAGEM
HOTEL MIRANTE DAS GAMBOAS,2016,HOSPEDAGEM
HOTEL MONÓLITOS,2023,HOSPEDAGEM
HOTEL MONÓLITOS,2024,HOSPEDAGEM 
HOTEL MONÓLITOS,2022,HOSPEDAGEM
HOTEL MONÓLITOS,2019,HOSPEDAGEM 
HOTEL MONÓLITOS,2018,HOSPEDAGEM
HOTEL MONÓLITOS,2017,HOSPEDAGEM
HOTEL MONÓLITOS,2016,HOSPEDAGEM
HOTEL MONÓLITOS,2015,HOSPEDAGEM
HOTEL MONÓLITOS,2014,HOSPEDAGEM
HOTEL MONÓLITOS,2013,HOSPEDAGEM
HOTEL MONÓLITOS,2011 / 2012,HOSPEDAGEM
HOTEL MONÓLITOS,2009 / 2010,HOSPEDAGEM
HOTEL MONTENEGRO,2016,HOSPEDAGEM
HOTEL MONTENEGRO,2015,HOSPEDAGEM
HOTEL MONTENEGRO,2014,HOSPEDAGEM
HOTEL OLHO D'ÁGUA,2022,HOSPEDAGEM
HOTEL PADRE CÍCERO,2019,EMPRESA DE EVENTOS
HOTEL PARQUE DAS FONTES,2024,HOSPEDAGEM 
HOTEL PARQUE DAS FONTES,2023,HOSPEDAGEM
HOTEL PARQUE DAS FONTES,2021,HOSPEDAGEM
HOTEL PARQUE DAS FONTES,2019,HOSPEDAGEM 
HOTEL PARQUE DAS FONTES,2017,HOSPEDAGEM
HOTEL PARQUE DAS FONTES,2015,HOSPEDAGEM
HOTEL PARQUE DAS FONTES,2013,HOSPEDAGEM
HOTEL PARQUE DAS FONTES,2011 / 2012,HOSPEDAGEM
HOTEL PARQUE DAS FONTES,2009 / 2010,HOSPEDAGEM
HOTEL PARQUE DAS FONTES ,2022,HOSPEDAGEM
HOTEL PAUSA,2015,HOSPEDAGEM
HOTEL PEDRA DOS VENTOS,2022,HOSPEDAGEM
HOTEL PINHEIRO,2024,HOSPEDAGEM 
HOTEL PINHEIRO,2023,HOSPEDAGEM
HOTEL PINHEIRO,2022,HOSPEDAGEM
HOTEL PINHEIRO,2023,HOSPEDAGEM
HOTEL PORTO DAS DUNAS ,2022,HOSPEDAGEM
HOTEL POUSADA TRÊS CARAVELAS,2017,HOSPEDAGEM
HOTEL POUSADA TRÊS CARAVELAS,2016,HOSPEDAGEM
HOTEL POUSADA TRÊS CARAVELAS,2015,HOSPEDAGEM
HOTEL POUSADA TRÊS CARAVELAS,2023,HOSPEDAGEM
HOTEL POUSADA TRÊS CARAVELAS,2022,HOSPEDAGEM
HOTEL POUSADA TRÊS CARAVELAS,2019,HOSPEDAGEM 
HOTEL POUSADA TRÊS CARAVELAS,2018,HOSPEDAGEM
HOTEL POYARES,2011 / 2012,HOSPEDAGEM
HOTEL RIBEIRA DOS ICÓS,2024,HOSPEDAGEM 
HOTEL RIBEIRA DOS ICÓS,2023,HOSPEDAGEM
HOTEL RIBEIRA DOS ICÓS,2022,HOSPEDAGEM
HOTEL SANT. DAS AGUIAS,2022,HOSPEDAGEM
HOTEL SOMBRA DO JUÁ,2013,HOSPEDAGEM
HOTEL SONATA DE IRACEMA,2024,HOSPEDAGEM 
HOTEL SONATA DE IRACEMA,2023,HOSPEDAGEM
HOTEL SONATA DE IRACEMA,2022,HOSPEDAGEM
HOTEL SONATA DE IRACEMA,2019,HOSPEDAGEM 
HOTEL SONATA DE IRACEMA,2018,HOSPEDAGEM
HOTEL SONATA DE IRACEMA,2017,HOSPEDAGEM
HOTEL SONATA DE IRACEMA,2016,HOSPEDAGEM
HOTEL SONATA DE IRACEMA,2015,HOSPEDAGEM
HOTEL SONATA DE IRACEMA,2014,HOSPEDAGEM
HOTEL SONATA DE IRACEMA,2013,HOSPEDAGEM
HOTEL SONATA DE IRACEMA,2011 / 2012,HOSPEDAGEM
HOTEL VALE DAS PEDRAS,2017,HOSPEDAGEM
HOTEL VALE DAS PEDRAS,2016,HOSPEDAGEM
HOTEL VALE DAS PEDRAS,2014,HOSPEDAGEM
HOTEL VELA E MAR,2015,HOSPEDAGEM
HOTEL VELA E MAR,2014,HOSPEDAGEM
HOTEL VELA E MAR,2013,HOSPEDAGEM
HOTEL VEREDAS DO SERTÃO,2018,HOSPEDAGEM
HOTEL VEREDAS DO SERTÃO,2015,HOSPEDAGEM
HOTEL VILLA MAYOR,2024,HOSPEDAGEM 
HOTEL VILLA MAYOR,2023,HOSPEDAGEM
HOTEL VILLA MAYOR,2022,HOSPEDAGEM
HOTEL VILLA MAYOR,2019,HOSPEDAGEM 
HOTEL VILLA MAYOR,2018,HOSPEDAGEM
HOTEL VILLA MAYOR,2017,HOSPEDAGEM
HOTEL VILLA MAYOR,2016,HOSPEDAGEM
HOTEL VILLA MAYOR,2015,HOSPEDAGEM
HOTEL VILLA MAYOR,2014,HOSPEDAGEM
HOTEL VILLA MAYOR,2013,HOSPEDAGEM
HOTEL VILLA MAYOR,2011 / 2012,HOSPEDAGEM
HOTEL VISCONDE,2017,HOSPEDAGEM
HOTEL VISCONDE,2016,HOSPEDAGEM
HOTEL VISCONDE,2015,HOSPEDAGEM
HULA HULA BRAZIL - ICARAIZINHO BRASIL HOTEL LTDA,2022,HOSPEDAGEM
"IAME, ALIMENTAÇÃO SAUDÁVEL LTDA",2025,ALIMENTAÇÃO FORA DO LAR
ICARAIZINHO ADVENTURE,2023,AGÊNCIA DE VIAGENS 
IDEIA DE EVENTO,2022,EMPRESA DE EVENTOS
IDEIA DE EVENTO,2019,EMPRESA DE EVENTOS
IDEIA DE EVENTO,2024,EMPRESA DE EVENTOS
IDEIA DE EVENTO,2023,EMPRESA DE EVENTOS
IDEIA DE EVENTO,2018,EMPRESA DE EVENTOS
IKONE EVENTOS,2019,EMPRESA DE EVENTOS
IKONE EVENTOS,2009 / 2010,EMPRESA DE EVENTOS
ILHA PARK HOTEL,2024,HOSPEDAGEM 
ILHA PARK HOTEL,2023,HOSPEDAGEM
ILHA PRAIA HOTEL,2019,HOSPEDAGEM 
ILHA PRAIA HOTEL,2018,HOSPEDAGEM
IMEDIATO HOTEL,2018,HOSPEDAGEM
IMEDIATO HOTEL,2017,HOSPEDAGEM
IMEDIATO HOTEL,2016,HOSPEDAGEM
IMEDIATO HOTEL,2015,HOSPEDAGEM
IMEDIATO HOTEL,2014,HOSPEDAGEM
IMPERIAL PALACE HOTEL,2023,HOSPEDAGEM
IMPERIAL PALACE HOTEL,2022,HOSPEDAGEM
IMPERIAL PALACE HOTEL,2018,HOSPEDAGEM
IMPERIAL PALACE HOTEL,2017,HOSPEDAGEM
IMPERIAL PALACE HOTEL,2016,HOSPEDAGEM
IMPERIAL PALACE HOTEL,2015,HOSPEDAGEM
IMPERIAL PALACE HOTEL,2014,HOSPEDAGEM
IMPERIAL PALACE HOTEL,2019,HOSPEDAGEM 
IMPERIUM PAULISTA,2024,EMPRESA DE EVENTOS
IMPRENSA CAFÉ,2019,ALIMENTAÇÃO FORA DO LAR
IMUNNE CLÍNICA DE VACINAÇÃO,2023,SERVIÇOS DE SAÚDE
IN-ON,2025,ALIMENTAÇÃO FORA DO LAR
INNOVARE,2024,EMPRESA DE EVENTOS
INNOVARE,2023,EMPRESA DE EVENTOS
INNOVARE SAÚDE & BEM- ESTAR,2025,SERVIÇOS DE SAÚDE
INSTITUTO DE ESTOMATERAPIA FERNANDA SILVA,2024,SERVIÇOS DE SAÚDE
INSTITUTO SITIO SÃO LUIS,2023,ALIMENTAÇÃO FORA DO LAR
ISABELLA FERNANDES DOCERIA,2024,ALIMENTAÇÃO FORA DO LAR
ITALAP DIAGNÓSTICO,2024,SERVIÇOS LABORATORIAIS
ITAPARK EMPREENDIMENTOS TURISTICOS LTDA,2022,ALIMENTAÇÃO FORA DO LAR
ITAPARK EMPREENDIMENTOS TURISTICOS LTDA,2024,ALIMENTAÇÃO FORA DO LAR
ITAPARK EMPREENDIMENTOS TURISTICOS LTDA,2023,ALIMENTAÇÃO FORA DO LAR
J M FERREIRA FILHO,2025,ALIMENTAÇÃO FORA DO LAR
J. B. FEITOSA JUNIOR,2021,ALIMENTAÇÃO FORA DO LAR
J. LANCHES PIZZARIA DELIVERY,2024,ALIMENTAÇÃO FORA DO LAR
JANGADAS RESTAURANTES ,2024,ALIMENTAÇÃO FORA DO LAR
JANGADEIRO PRAIA HOTEL,2024,HOSPEDAGEM 
JANGADEIRO PRAIA HOTEL,2023,HOSPEDAGEM
JANGADEIRO PRAIA HOTEL,2022,HOSPEDAGEM
JANGADEIRO PRAIA HOTEL,2019,HOSPEDAGEM 
JANGADEIRO PRAIA HOTEL,2018,HOSPEDAGEM
JANGADEIRO PRAIA HOTEL,2017,HOSPEDAGEM
JANGADEIRO PRAIA HOTEL,2016,HOSPEDAGEM
JANGADEIRO PRAIA HOTEL,2015,HOSPEDAGEM
JARDIM ARATUBA,2023,ALIMENTAÇÃO FORA DO LAR
JARDINEIRA PARK HOTEL,2015,HOSPEDAGEM
JARDINEIRA PARK HOTEL,2016,HOSPEDAGEM
JARDINEIRA PARK RESTAURANTE,2015,ALIMENTAÇÃO FORA DO LAR
JARDINEIRA PARK RESTAURANTE,2016,ALIMENTAÇÃO FORA DO LAR
JARDINS LOUNGE BAR,2017,ALIMENTAÇÃO FORA DO LAR
JC HOTEIS E PRESTADORA DE SERVICOS LTDA,2024,HOSPEDAGEM 
JERI PARAÍSO TROPICAL,2022,AGÊNCIA DE VIAGENS
JERI PARAÍSO TROPICAL,2023,AGÊNCIA DE VIAGENS 
JERI PARAÍSO TROPICAL,2024,AGÊNCIA DE VIAGENS 
JERI VILLAGE HOTEL,2025,HOSPEDAGEM 
JERIUNIDOS4X4,2025,AGÊNCIA DE VIAGENS 
JESUS OLIVEIRA SOARES LTDA,2025,ALIMENTAÇÃO FORA DO LAR
JHL COMERCIO DE ALIMENTOS LTDA - SUPREMO AÇAI,2024,ALIMENTAÇÃO FORA DO LAR
JJ PIZZA GRILL - JHONATAN MARTINS DE OLIVEIRA,2025,ALIMENTAÇÃO FORA DO LAR
JJ PIZZA GRILL - JHONATAN MARTINS DE OLIVEIRA,2024,ALIMENTAÇÃO FORA DO LAR
JJ PIZZA GRILL - JHONATAN MARTINS DE OLIVEIRA,2023,ALIMENTAÇÃO FORA DO LAR
JK AÇAÍ GOOD,2023,ALIMENTAÇÃO FORA DO LAR
JK AÇAÍ GOOD,2024,ALIMENTAÇÃO FORA DO LAR
JUAUTOS COMÉRCIO VAREJISTA DE PEÇAS E SERVIÇOS,2022,MANUTENÇÃO DE VEÍCULOS
JUAZEIRO RESIDENCE HOTEL,2018,HOSPEDAGEM
JULIA FIT GOURMET,2023,ALIMENTAÇÃO FORA DO LAR
JUNIOR CAR,2025,MANUTENÇÃO DE VEÍCULOS
K´DELÍCIA,2024,ALIMENTAÇÃO FORA DO LAR
KAIRA - MICHELINE M F SAIRAVA ME,2022,ALIMENTAÇÃO FORA DO LAR
KAIS RESTAURANTE BAR,2013,ALIMENTAÇÃO FORA DO LAR
KAIS RESTAURANTE BAR,2016,ALIMENTAÇÃO FORA DO LAR
KAIS RESTAURANTE BAR,2014,ALIMENTAÇÃO FORA DO LAR
KAIS RESTAURANTE BAR,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
KAIS RESTAURANTE BAR,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
KAIS RESTAURANTE BAR,2015,ALIMENTAÇÃO FORA DO LAR
KAKTUS EVENTOS,2025,EMPRESA DE EVENTOS
KAVA CAFÉ & MAIS,2018,ALIMENTAÇÃO FORA DO LAR
KAZUI POKE E SUSHI,2024,ALIMENTAÇÃO FORA DO LAR
KLAUS MAGNO LABORATÓRIO CLÍNICO,2024,SERVIÇOS LABORATORIAIS
KLAUS MAGNO LABORATÓRIO CLÍNICO,2023,SERVIÇOS LABORATORIAIS
L3 PERFORMANCE E SAÚDE,2022,ACADEMIA
L3 PERFORMANCE E SAÚDE,2024,ACADEMIA
L3 PERFORMANCE E SAÚDE,2023,ACADEMIA
LA BELLA ITALIA,2014,ALIMENTAÇÃO FORA DO LAR
LA BELLA ITALIA,2016,ALIMENTAÇÃO FORA DO LAR
LA BELLA ITALIA,2015,ALIMENTAÇÃO FORA DO LAR
LA BELLA ITALIA,2013,ALIMENTAÇÃO FORA DO LAR
LA BOMBONERA RESTAURANTE,2015,ALIMENTAÇÃO FORA DO LAR
LA CASA DI PIETRA ,2024,HOSPEDAGEM 
LA CREMA CAFETERIA ,2024,ALIMENTAÇÃO FORA DO LAR
LA MAMA PIZZAS & CIA,2023,ALIMENTAÇÃO FORA DO LAR
